start_date,end_date,event_type,meeting_type,is_two_day,has_press_conference,statement_time,year,month
2017-02-01,2017-02-01,FOMC,scheduled,0,0,2:00 p.m.,2017,2017-02
2017-03-15,2017-03-15,FOMC,scheduled,0,1,2:00 p.m.,2017,2017-03
2017-05-03,2017-05-03,FOMC,scheduled,0,0,2:00 p.m.,2017,2017-05
2017-06-14,2017-06-14,FOMC,scheduled,0,1,2:00 p.m.,2017,2017-06
2017-07-26,2017-07-26,FOMC,scheduled,0,0,2:00 p.m.,2017,2017-07
2017-09-20,2017-09-20,FOMC,scheduled,0,1,2:00 p.m.,2017,2017-09
2017-11-01,2017-11-01,FOMC,scheduled,0,0,2:00 p.m.,2017,2017-11
2017-12-13,2017-12-13,FOMC,scheduled,0,1,2:00 p.m.,2017,2017-12
2018-01-31,2018-01-31,FOMC,scheduled,0,0,2:00 p.m.,2018,2018-01
2018-03-21,2018-03-21,FOMC,scheduled,0,1,2:00 p.m.,2018,2018-03
2018-05-02,2018-05-02,FOMC,scheduled,0,0,2:00 p.m.,2018,2018-05
2018-06-13,2018-06-13,FOMC,scheduled,0,1,2:00 p.m.,2018,2018-06
2018-08-01,2018-08-01,FOMC,scheduled,0,0,2:00 p.m.,2018,2018-08
2018-09-26,2018-09-26,FOMC,scheduled,0,1,2:00 p.m.,2018,2018-09
2018-11-08,2018-11-08,FOMC,scheduled,0,0,2:00 p.m.,2018,2018-11
2018-12-19,2018-12-19,FOMC,scheduled,0,1,2:00 p.m.,2018,2018-12
2019-01-30,2019-01-30,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-01
2019-03-20,2019-03-20,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-03
2019-05-01,2019-05-01,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-05
2019-06-19,2019-06-19,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-06
2019-07-31,2019-07-31,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-07
2019-09-18,2019-09-18,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-09
2019-10-30,2019-10-30,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-10
2019-12-11,2019-12-11,FOMC,scheduled,0,1,2:00 p.m.,2019,2019-12
2020-01-29,2020-01-29,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-01
2020-04-29,2020-04-29,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-04
2020-06-10,2020-06-10,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-06
2020-07-29,2020-07-29,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-07
2020-09-16,2020-09-16,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-09
2020-11-05,2020-11-05,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-11
2020-12-16,2020-12-16,FOMC,scheduled,0,1,2:00 p.m.,2020,2020-12
2021-01-27,2021-01-27,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-01
2021-03-17,2021-03-17,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-03
2021-04-28,2021-04-28,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-04
2021-06-16,2021-06-16,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-06
2021-07-28,2021-07-28,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-07
2021-09-22,2021-09-22,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-09
2021-11-03,2021-11-03,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-11
2021-12-15,2021-12-15,FOMC,scheduled,0,1,2:00 p.m.,2021,2021-12
2022-01-26,2022-01-26,FOMC,scheduled,0,1,2:00 p.m.,2022,2022-01
2022-03-16,2022-03-16,FOMC,scheduled,0,1,2:00 p.m.,2022,2022-03
2022-05-04,2022-05-04,FOMC,scheduled,0,1,2:00 p.m.,2022,2022-05
2022-06-15,2022-06-15,FOMC,scheduled,0,1,2:00 p.m.,2022,2022-06
