lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2015-03-01,cpi_gold_v1,CPI,2015-03-01,2015-04-08,first_gold_session_on_or_after_release_timestamp,1203.099976,2015-04-08T08:30:00,235.976,235.342,0.269395,inflation_pressure_up,1193.599976,-0.789627,DOWN,1201.5,-0.132988,DOWN,1190.300049,-1.063912,DOWN,20,"After CPI changed by 0.269395% on 2015-03-01, gold moved -1.063912% over 20 trading days (DOWN)."
CPI_GOLD_2015-04-01,cpi_gold_v1,CPI,2015-04-01,2015-05-13,first_gold_session_on_or_after_release_timestamp,1218.400024,2015-05-13T08:30:00,236.222,235.976,0.104248,inflation_pressure_up,1225.400024,0.574524,UP,1208.900024,-0.779711,DOWN,1179.900024,-3.159882,DOWN,20,"After CPI changed by 0.104248% on 2015-04-01, gold moved -3.159882% over 20 trading days (DOWN)."
CPI_GOLD_2015-05-01,cpi_gold_v1,CPI,2015-05-01,2015-06-10,first_gold_session_on_or_after_release_timestamp,1186.099976,2015-06-10T08:30:00,237.001,236.222,0.329775,inflation_pressure_up,1179.900024,-0.522717,DOWN,1176.400024,-0.817802,DOWN,1159.0,-2.284797,DOWN,20,"After CPI changed by 0.329775% on 2015-05-01, gold moved -2.284797% over 20 trading days (DOWN)."
CPI_GOLD_2015-06-01,cpi_gold_v1,CPI,2015-06-01,2015-07-08,first_gold_session_on_or_after_release_timestamp,1163.300049,2015-07-08T08:30:00,237.657,237.001,0.276792,inflation_pressure_up,1159.0,-0.369642,DOWN,1147.199951,-1.384002,DOWN,1085.699951,-6.670686,DOWN,20,"After CPI changed by 0.276792% on 2015-06-01, gold moved -6.670686% over 20 trading days (DOWN)."
CPI_GOLD_2015-07-01,cpi_gold_v1,CPI,2015-07-01,2015-08-12,first_gold_session_on_or_after_release_timestamp,1123.199951,2015-08-12T08:30:00,238.034,237.657,0.158632,inflation_pressure_up,1115.699951,-0.667735,DOWN,1128.099976,0.436256,UP,1109.5,-1.219725,DOWN,20,"After CPI changed by 0.158632% on 2015-07-01, gold moved -1.219725% over 20 trading days (DOWN)."
CPI_GOLD_2015-08-01,cpi_gold_v1,CPI,2015-08-01,2015-09-09,first_gold_session_on_or_after_release_timestamp,1102.199951,2015-09-09T08:30:00,238.033,238.034,-0.00042,inflation_pressure_down,1109.5,0.662316,UP,1119.199951,1.54237,UP,1149.0,4.246058,UP,20,"After CPI changed by -0.00042% on 2015-08-01, gold moved 4.246058% over 20 trading days (UP)."
CPI_GOLD_2015-09-01,cpi_gold_v1,CPI,2015-09-01,2015-10-14,first_gold_session_on_or_after_release_timestamp,1180.099976,2015-10-14T08:30:00,237.498,238.033,-0.224759,inflation_pressure_down,1187.900024,0.660965,UP,1167.599976,-1.059232,DOWN,1084.699951,-8.084063,DOWN,20,"After CPI changed by -0.224759% on 2015-09-01, gold moved -8.084063% over 20 trading days (DOWN)."
CPI_GOLD_2015-10-01,cpi_gold_v1,CPI,2015-10-01,2015-11-11,first_gold_session_on_or_after_release_timestamp,1084.699951,2015-11-11T08:30:00,237.733,237.498,0.098948,inflation_pressure_up,1080.800049,-0.359537,DOWN,1068.800049,-1.465834,DOWN,1073.099976,-1.069418,DOWN,5,"After CPI changed by 0.098948% on 2015-10-01, gold moved -1.465834% over 5 trading days (DOWN)."
CPI_GOLD_2015-11-01,cpi_gold_v1,CPI,2015-11-01,2015-12-09,first_gold_session_on_or_after_release_timestamp,1077.599976,2015-12-09T08:30:00,238.017,237.733,0.119462,inflation_pressure_up,1073.099976,-0.417595,DOWN,1078.0,0.037122,FLAT,1097.800049,1.874543,UP,20,"After CPI changed by 0.119462% on 2015-11-01, gold moved 1.874543% over 20 trading days (UP)."
CPI_GOLD_2015-12-01,cpi_gold_v1,CPI,2015-12-01,2016-01-13,first_gold_session_on_or_after_release_timestamp,1087.5,2016-01-13T08:30:00,237.761,238.017,-0.107555,inflation_pressure_down,1073.900024,-1.250572,DOWN,1099.099976,1.066664,UP,1247.900024,14.749428,UP,20,"After CPI changed by -0.107555% on 2015-12-01, gold moved 14.749428% over 20 trading days (UP)."
