lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,gdp_value,previous_gdp_value,gdp_change,gdp_trend,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
GDP_GOLD_2019-06-30,gdp_gold_v1,GDP,2019-06-30,2019-07-01,first_gold_session_on_or_after_event_date,1385.599976,0.42,3.11,-2.69,gdp_contraction,1404.599976,1.371247,UP,1397.5,0.858835,UP,1429.699951,3.182735,UP,20,"After US GDP grew at 0.42% (gdp_contraction) on 2019-06-30, gold moved 3.182735% over 20 trading days (UP)."
GDP_GOLD_2019-09-30,gdp_gold_v1,GDP,2019-09-30,2019-09-30,first_gold_session_on_or_after_event_date,1465.699951,4.0,0.42,3.58,gdp_expansion,1482.0,1.1121,UP,1497.699951,2.183257,UP,1490.0,1.657914,UP,5,"After US GDP grew at 4.0% (gdp_expansion) on 2019-09-30, gold moved 2.183257% over 5 trading days (UP)."
GDP_GOLD_2019-12-31,gdp_gold_v1,GDP,2019-12-31,2019-12-31,first_gold_session_on_or_after_event_date,1519.5,4.38,4.0,0.38,gdp_expansion,1524.5,0.329056,UP,1557.400024,2.494243,UP,1583.5,4.211912,UP,20,"After US GDP grew at 4.38% (gdp_expansion) on 2019-12-31, gold moved 4.211912% over 20 trading days (UP)."
GDP_GOLD_2020-03-31,gdp_gold_v1,GDP,2020-03-31,2020-03-31,first_gold_session_on_or_after_event_date,1583.400024,-1.4,4.38,-5.78,gdp_contraction,1578.199951,-0.328412,DOWN,1664.800049,5.140838,UP,1703.400024,7.578628,UP,20,"After US GDP grew at -1.4% (gdp_contraction) on 2020-03-31, gold moved 7.578628% over 20 trading days (UP)."
GDP_GOLD_2020-06-30,gdp_gold_v1,GDP,2020-06-30,2020-06-30,first_gold_session_on_or_after_event_date,1793.0,-0.1,-1.4,1.3,gdp_contraction,1773.199951,-1.104297,DOWN,1815.5,1.25488,UP,1953.5,8.951478,UP,20,"After US GDP grew at -0.1% (gdp_contraction) on 2020-06-30, gold moved 8.951478% over 20 trading days (UP)."
GDP_GOLD_2020-09-30,gdp_gold_v1,GDP,2020-09-30,2020-09-30,first_gold_session_on_or_after_event_date,1887.5,2.76,-0.1,2.86,gdp_stable,1908.400024,1.107286,UP,1883.599976,-0.206624,DOWN,1876.199951,-0.598678,DOWN,1,"After US GDP grew at 2.76% (gdp_stable) on 2020-09-30, gold moved 1.107286% over 1 trading days (UP)."
GDP_GOLD_2020-12-31,gdp_gold_v1,GDP,2020-12-31,2020-12-31,first_gold_session_on_or_after_event_date,1893.099976,1.87,2.76,-0.89,gdp_stable,1944.699951,2.725687,UP,1834.099976,-3.116581,DOWN,1860.800049,-1.706192,DOWN,5,"After US GDP grew at 1.87% (gdp_stable) on 2020-12-31, gold moved -3.116581% over 5 trading days (DOWN)."
GDP_GOLD_2021-03-31,gdp_gold_v1,GDP,2021-03-31,2021-03-31,first_gold_session_on_or_after_event_date,1713.800049,2.47,1.87,0.6,gdp_stable,1726.5,0.74104,UP,1756.800049,2.509044,UP,1768.099976,3.168393,UP,20,"After US GDP grew at 2.47% (gdp_stable) on 2021-03-31, gold moved 3.168393% over 20 trading days (UP)."
GDP_GOLD_2021-06-30,gdp_gold_v1,GDP,2021-06-30,2021-06-30,first_gold_session_on_or_after_event_date,1770.800049,0.79,2.47,-1.68,gdp_contraction,1775.900024,0.288004,UP,1799.599976,1.626379,UP,1831.199951,3.410882,UP,20,"After US GDP grew at 0.79% (gdp_contraction) on 2021-06-30, gold moved 3.410882% over 20 trading days (UP)."
GDP_GOLD_2021-09-30,gdp_gold_v1,GDP,2021-09-30,2021-09-30,first_gold_session_on_or_after_event_date,1755.300049,4.26,0.79,3.47,gdp_expansion,1757.0,0.096847,FLAT,1757.900024,0.148121,UP,1801.599976,2.637721,UP,20,"After US GDP grew at 4.26% (gdp_expansion) on 2021-09-30, gold moved 2.637721% over 20 trading days (UP)."
GDP_GOLD_2021-12-31,gdp_gold_v1,GDP,2021-12-31,2021-12-31,first_gold_session_on_or_after_event_date,1827.5,4.06,4.26,-0.2,gdp_expansion,1799.400024,-1.537618,DOWN,1797.0,-1.668947,DOWN,1795.0,-1.778386,DOWN,20,"After US GDP grew at 4.06% (gdp_expansion) on 2021-12-31, gold moved -1.778386% over 20 trading days (DOWN)."
GDP_GOLD_2022-03-31,gdp_gold_v1,GDP,2022-03-31,2022-03-31,first_gold_session_on_or_after_event_date,1949.199951,2.63,4.06,-1.43,gdp_stable,1919.099976,-1.544222,DOWN,1933.800049,-0.790063,DOWN,1909.300049,-2.046989,DOWN,20,"After US GDP grew at 2.63% (gdp_stable) on 2022-03-31, gold moved -2.046989% over 20 trading days (DOWN)."
GDP_GOLD_2022-06-30,gdp_gold_v1,GDP,2022-06-30,2022-06-30,first_gold_session_on_or_after_event_date,1804.099976,4.75,2.63,2.12,gdp_expansion,1798.900024,-0.28823,DOWN,1740.599976,-3.519761,DOWN,1762.900024,-2.283684,DOWN,5,"After US GDP grew at 4.75% (gdp_expansion) on 2022-06-30, gold moved -3.519761% over 5 trading days (DOWN)."
GDP_GOLD_2022-09-30,gdp_gold_v1,GDP,2022-09-30,2022-09-30,first_gold_session_on_or_after_event_date,1662.400024,3.44,4.75,-1.31,gdp_expansion,1692.900024,1.834697,UP,1700.5,2.291866,UP,1639.599976,-1.371514,DOWN,5,"After US GDP grew at 3.44% (gdp_expansion) on 2022-09-30, gold moved 2.291866% over 5 trading days (UP)."
GDP_GOLD_2022-12-31,gdp_gold_v1,GDP,2022-12-31,2023-01-03,first_gold_session_on_or_after_event_date,1839.699951,0.78,3.44,-2.66,gdp_contraction,1852.800049,0.712078,UP,1871.599976,1.73398,UP,1927.800049,4.78883,UP,20,"After US GDP grew at 0.78% (gdp_contraction) on 2022-12-31, gold moved 4.78883% over 20 trading days (UP)."
GDP_GOLD_2023-03-31,gdp_gold_v1,GDP,2023-03-31,2023-03-31,first_gold_session_on_or_after_event_date,1969.0,3.24,0.78,2.46,gdp_expansion,1983.900024,0.756731,UP,1989.099976,1.020822,UP,1983.400024,0.731337,UP,5,"After US GDP grew at 3.24% (gdp_expansion) on 2023-03-31, gold moved 1.020822% over 5 trading days (UP)."
GDP_GOLD_2023-06-30,gdp_gold_v1,GDP,2023-06-30,2023-06-30,first_gold_session_on_or_after_event_date,1921.099976,0.58,3.24,-2.66,gdp_contraction,1921.699951,0.031231,FLAT,1925.0,0.20301,UP,1970.5,2.571445,UP,20,"After US GDP grew at 0.58% (gdp_contraction) on 2023-06-30, gold moved 2.571445% over 20 trading days (UP)."
GDP_GOLD_2023-09-30,gdp_gold_v1,GDP,2023-09-30,2023-10-02,first_gold_session_on_or_after_event_date,1830.0,4.26,0.58,3.68,gdp_expansion,1824.599976,-0.295083,DOWN,1849.5,1.065574,UP,1996.199951,9.081965,UP,20,"After US GDP grew at 4.26% (gdp_expansion) on 2023-09-30, gold moved 9.081965% over 20 trading days (UP)."
GDP_GOLD_2023-12-31,gdp_gold_v1,GDP,2023-12-31,2024-01-02,first_gold_session_on_or_after_event_date,2064.399902,2.4,4.26,-1.86,gdp_stable,2034.199951,-1.462892,DOWN,2026.400024,-1.840723,DOWN,2048.399902,-0.775044,DOWN,5,"After US GDP grew at 2.4% (gdp_stable) on 2023-12-31, gold moved -1.840723% over 5 trading days (DOWN)."
