lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,interest_rate_value,previous_interest_rate_value,interest_rate_change,interest_rate_trend,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
INTEREST_RATE_GOLD_2015-02-01,interest_rate_gold_v1,INTEREST_RATE,2015-02-01,2015-02-02,first_gold_session_on_or_after_event_date,1276.199951,0.11,0.11,0.0,rate_hold,1259.699951,-1.292901,DOWN,1240.800049,-2.773852,DOWN,1204.0,-5.657417,DOWN,20,"After rates moved to 0.11% (rate_hold) on 2015-02-01, gold moved -5.657417% over 20 trading days (DOWN)."
INTEREST_RATE_GOLD_2015-03-01,interest_rate_gold_v1,INTEREST_RATE,2015-03-01,2015-03-02,first_gold_session_on_or_after_event_date,1207.699951,0.11,0.11,0.0,rate_hold,1204.0,-0.306363,DOWN,1166.400024,-3.419718,DOWN,1184.800049,-1.896158,DOWN,5,"After rates moved to 0.11% (rate_hold) on 2015-03-01, gold moved -3.419718% over 5 trading days (DOWN)."
INTEREST_RATE_GOLD_2015-04-01,interest_rate_gold_v1,INTEREST_RATE,2015-04-01,2015-04-01,first_gold_session_on_or_after_event_date,1208.099976,0.12,0.11,0.01,rate_hike,1200.900024,-0.595973,DOWN,1193.599976,-1.200232,DOWN,1182.400024,-2.127303,DOWN,20,"After rates moved to 0.12% (rate_hike) on 2015-04-01, gold moved -2.127303% over 20 trading days (DOWN)."
INTEREST_RATE_GOLD_2015-05-01,interest_rate_gold_v1,INTEREST_RATE,2015-05-01,2015-05-01,first_gold_session_on_or_after_event_date,1174.5,0.12,0.12,0.0,rate_hold,1186.800049,1.047258,UP,1189.099976,1.24308,UP,1188.300049,1.174972,UP,5,"After rates moved to 0.12% (rate_hold) on 2015-05-01, gold moved 1.24308% over 5 trading days (UP)."
INTEREST_RATE_GOLD_2015-06-01,interest_rate_gold_v1,INTEREST_RATE,2015-06-01,2015-06-01,first_gold_session_on_or_after_event_date,1188.300049,0.13,0.12,0.01,rate_hike,1194.099976,0.488086,UP,1173.199951,-1.270731,DOWN,1178.5,-0.824712,DOWN,5,"After rates moved to 0.13% (rate_hike) on 2015-06-01, gold moved -1.270731% over 5 trading days (DOWN)."
INTEREST_RATE_GOLD_2015-07-01,interest_rate_gold_v1,INTEREST_RATE,2015-07-01,2015-07-01,first_gold_session_on_or_after_event_date,1169.0,0.13,0.13,0.0,rate_hold,1163.0,-0.513259,DOWN,1159.0,-0.855432,DOWN,1088.400024,-6.89478,DOWN,20,"After rates moved to 0.13% (rate_hold) on 2015-07-01, gold moved -6.89478% over 20 trading days (DOWN)."
INTEREST_RATE_GOLD_2015-08-01,interest_rate_gold_v1,INTEREST_RATE,2015-08-01,2015-08-03,first_gold_session_on_or_after_event_date,1089.400024,0.14,0.13,0.01,rate_hike,1090.699951,0.119325,UP,1104.199951,1.358539,UP,1131.599976,3.873687,UP,20,"After rates moved to 0.14% (rate_hike) on 2015-08-01, gold moved 3.873687% over 20 trading days (UP)."
INTEREST_RATE_GOLD_2015-09-01,interest_rate_gold_v1,INTEREST_RATE,2015-09-01,2015-09-01,first_gold_session_on_or_after_event_date,1138.699951,0.14,0.14,0.0,rate_hold,1132.5,-0.544476,DOWN,1102.199951,-3.20541,DOWN,1115.5,-2.037407,DOWN,5,"After rates moved to 0.14% (rate_hold) on 2015-09-01, gold moved -3.20541% over 5 trading days (DOWN)."
INTEREST_RATE_GOLD_2015-10-01,interest_rate_gold_v1,INTEREST_RATE,2015-10-01,2015-10-01,first_gold_session_on_or_after_event_date,1114.199951,0.12,0.14,-0.02,rate_cut,1137.099976,2.055289,UP,1144.699951,2.73739,UP,1147.199951,2.961766,UP,20,"After rates moved to 0.12% (rate_cut) on 2015-10-01, gold moved 2.961766% over 20 trading days (UP)."
INTEREST_RATE_GOLD_2015-11-01,interest_rate_gold_v1,INTEREST_RATE,2015-11-01,2015-11-02,first_gold_session_on_or_after_event_date,1135.800049,0.12,0.12,0.0,rate_hold,1114.199951,-1.901752,DOWN,1087.900024,-4.217294,DOWN,1063.800049,-6.339144,DOWN,20,"After rates moved to 0.12% (rate_hold) on 2015-11-01, gold moved -6.339144% over 20 trading days (DOWN)."
