lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,release_timestamp,cpi_value,previous_cpi_value,cpi_change_pct,cpi_pressure,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
CPI_GOLD_2018-12-01,cpi_gold_v1,CPI,2018-12-01,2019-01-09,first_gold_session_on_or_after_release_timestamp,1016.0,2019-01-09T08:30:00,252.767,252.594,0.068489,inflation_pressure_up,1016.5,0.049213,FLAT,1026.0,0.984252,UP,1041.5,2.509843,UP,20,"After CPI changed by 0.068489% on 2018-12-01, gold moved 2.509843% over 20 trading days (UP)."
CPI_GOLD_2019-01-01,cpi_gold_v1,CPI,2019-01-01,2019-02-13,first_gold_session_on_or_after_release_timestamp,1046.0,2019-02-13T08:30:00,252.561,252.767,-0.081498,inflation_pressure_down,1047.0,0.095602,FLAT,1051.5,0.525813,UP,1082.0,3.441683,UP,20,"After CPI changed by -0.081498% on 2019-01-01, gold moved 3.441683% over 20 trading days (UP)."
CPI_GOLD_2019-02-01,cpi_gold_v1,CPI,2019-02-01,2019-03-13,first_gold_session_on_or_after_release_timestamp,1082.0,2019-03-13T08:30:00,253.319,252.561,0.300126,inflation_pressure_up,1083.5,0.138632,UP,1089.0,0.64695,UP,1105.0,2.125693,UP,20,"After CPI changed by 0.300126% on 2019-02-01, gold moved 2.125693% over 20 trading days (UP)."
CPI_GOLD_2019-03-01,cpi_gold_v1,CPI,2019-03-01,2019-04-10,first_gold_session_on_or_after_release_timestamp,1105.0,2019-04-10T08:30:00,254.277,253.319,0.378179,inflation_pressure_up,1105.5,0.045249,FLAT,1110.5,0.497738,UP,1139.5,3.122172,UP,20,"After CPI changed by 0.378179% on 2019-03-01, gold moved 3.122172% over 20 trading days (UP)."
CPI_GOLD_2019-04-01,cpi_gold_v1,CPI,2019-04-01,2019-05-08,first_gold_session_on_or_after_release_timestamp,1139.5,2019-05-08T08:30:00,255.233,254.277,0.375968,inflation_pressure_up,1140.0,0.043879,FLAT,1141.5,0.175516,UP,1175.5,3.15928,UP,20,"After CPI changed by 0.375968% on 2019-04-01, gold moved 3.15928% over 20 trading days (UP)."
CPI_GOLD_2019-05-01,cpi_gold_v1,CPI,2019-05-01,2019-06-12,first_gold_session_on_or_after_release_timestamp,1180.0,2019-06-12T08:30:00,255.296,255.233,0.024683,inflation_pressure_up,1179.5,-0.042373,FLAT,1187.0,0.59322,UP,1206.5,2.245763,UP,20,"After CPI changed by 0.024683% on 2019-05-01, gold moved 2.245763% over 20 trading days (UP)."
CPI_GOLD_2019-06-01,cpi_gold_v1,CPI,2019-06-01,2019-07-10,first_gold_session_on_or_after_release_timestamp,1206.5,2019-07-10T08:30:00,255.213,255.296,-0.032511,inflation_pressure_down,1208.0,0.124327,UP,1212.5,0.497306,UP,1244.5,3.149606,UP,20,"After CPI changed by -0.032511% on 2019-06-01, gold moved 3.149606% over 20 trading days (UP)."
CPI_GOLD_2019-07-01,cpi_gold_v1,CPI,2019-07-01,2019-08-14,first_gold_session_on_or_after_release_timestamp,1248.5,2019-08-14T08:30:00,255.802,255.213,0.230788,inflation_pressure_up,1251.0,0.20024,UP,1252.5,0.320384,UP,1283.5,2.803364,UP,20,"After CPI changed by 0.230788% on 2019-07-01, gold moved 2.803364% over 20 trading days (UP)."
CPI_GOLD_2019-08-01,cpi_gold_v1,CPI,2019-08-01,2019-09-11,first_gold_session_on_or_after_release_timestamp,1283.5,2019-09-11T08:30:00,256.036,255.802,0.091477,inflation_pressure_up,1286.0,0.19478,UP,1293.5,0.77912,UP,1313.5,2.337359,UP,20,"After CPI changed by 0.091477% on 2019-08-01, gold moved 2.337359% over 20 trading days (UP)."
CPI_GOLD_2019-09-01,cpi_gold_v1,CPI,2019-09-01,2019-10-09,first_gold_session_on_or_after_release_timestamp,1313.5,2019-10-09T08:30:00,256.43,256.036,0.153885,inflation_pressure_up,1313.0,-0.038066,FLAT,1320.0,0.494861,UP,1339.0,1.941378,UP,20,"After CPI changed by 0.153885% on 2019-09-01, gold moved 1.941378% over 20 trading days (UP)."
CPI_GOLD_2019-10-01,cpi_gold_v1,CPI,2019-10-01,2019-11-13,first_gold_session_on_or_after_release_timestamp,1349.5,2019-11-13T08:30:00,257.155,256.43,0.282728,inflation_pressure_up,1350.0,0.037051,FLAT,1359.0,0.703964,UP,1384.5,2.593553,UP,20,"After CPI changed by 0.282728% on 2019-10-01, gold moved 2.593553% over 20 trading days (UP)."
CPI_GOLD_2019-11-01,cpi_gold_v1,CPI,2019-11-01,2019-12-11,first_gold_session_on_or_after_release_timestamp,1384.5,2019-12-11T08:30:00,257.879,257.155,0.281542,inflation_pressure_up,1385.0,0.036114,FLAT,1390.0,0.397255,UP,1411.0,1.914048,UP,20,"After CPI changed by 0.281542% on 2019-11-01, gold moved 1.914048% over 20 trading days (UP)."
CPI_GOLD_2019-12-01,cpi_gold_v1,CPI,2019-12-01,2020-01-08,first_gold_session_on_or_after_release_timestamp,1411.0,2020-01-08T08:30:00,258.63,257.879,0.291222,inflation_pressure_up,1411.0,0.0,FLAT,1422.5,0.815025,UP,1456.0,3.189227,UP,20,"After CPI changed by 0.291222% on 2019-12-01, gold moved 3.189227% over 20 trading days (UP)."
CPI_GOLD_2020-01-01,cpi_gold_v1,CPI,2020-01-01,2020-02-12,first_gold_session_on_or_after_release_timestamp,1467.0,2020-02-12T08:30:00,259.127,258.63,0.192166,inflation_pressure_up,1469.0,0.136333,UP,1479.5,0.852079,UP,1507.0,2.726653,UP,20,"After CPI changed by 0.192166% on 2020-01-01, gold moved 2.726653% over 20 trading days (UP)."
CPI_GOLD_2020-02-01,cpi_gold_v1,CPI,2020-02-01,2020-03-11,first_gold_session_on_or_after_release_timestamp,1507.0,2020-03-11T08:30:00,259.25,259.127,0.047467,inflation_pressure_up,1507.5,0.033179,FLAT,1516.0,0.597213,UP,1539.0,2.123424,UP,20,"After CPI changed by 0.047467% on 2020-02-01, gold moved 2.123424% over 20 trading days (UP)."
CPI_GOLD_2020-03-01,cpi_gold_v1,CPI,2020-03-01,2020-04-08,first_gold_session_on_or_after_release_timestamp,1539.0,2020-04-08T08:30:00,258.076,259.25,-0.452845,inflation_pressure_down,1538.5,-0.032489,FLAT,1543.0,0.259909,UP,1563.5,1.591943,UP,20,"After CPI changed by -0.452845% on 2020-03-01, gold moved 1.591943% over 20 trading days (UP)."
CPI_GOLD_2020-04-01,cpi_gold_v1,CPI,2020-04-01,2020-05-13,first_gold_session_on_or_after_release_timestamp,1577.0,2020-05-13T08:30:00,256.032,258.076,-0.792015,inflation_pressure_down,1578.0,0.063412,FLAT,1584.5,0.475587,UP,1612.5,2.25111,UP,20,"After CPI changed by -0.792015% on 2020-04-01, gold moved 2.25111% over 20 trading days (UP)."
