lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,fomc_rate,previous_fomc_rate,fomc_change,fomc_decision,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
FOMC_GOLD_2020-02-29,fomc_gold_v1,FOMC,2020-02-29,2020-03-02,first_gold_session_on_or_after_event_date,1492.0,0.94,2.96,-2.02,rate_cut,1495.0,0.201072,UP,1499.5,0.502681,UP,1528.5,2.446381,UP,20,"After the FOMC set rates at 0.94% (rate_cut) on 2020-02-29, gold moved 2.446381% over 20 trading days (UP)."
FOMC_GOLD_2020-03-31,fomc_gold_v1,FOMC,2020-03-31,2020-03-31,first_gold_session_on_or_after_event_date,1532.5,3.63,0.94,2.69,rate_hike,1533.5,0.065253,FLAT,1538.5,0.391517,UP,1555.5,1.500816,UP,20,"After the FOMC set rates at 3.63% (rate_hike) on 2020-03-31, gold moved 1.500816% over 20 trading days (UP)."
FOMC_GOLD_2020-04-30,fomc_gold_v1,FOMC,2020-04-30,2020-04-30,first_gold_session_on_or_after_event_date,1556.0,3.91,3.63,0.28,rate_hike,1558.5,0.160668,UP,1566.5,0.674807,UP,1597.5,2.667095,UP,20,"After the FOMC set rates at 3.91% (rate_hike) on 2020-04-30, gold moved 2.667095% over 20 trading days (UP)."
FOMC_GOLD_2020-05-31,fomc_gold_v1,FOMC,2020-05-31,2020-06-01,first_gold_session_on_or_after_event_date,1597.0,-0.43,3.91,-4.34,rate_cut,1600.5,0.219161,UP,1608.5,0.7201,UP,1635.5,2.41077,UP,20,"After the FOMC set rates at -0.43% (rate_cut) on 2020-05-31, gold moved 2.41077% over 20 trading days (UP)."
FOMC_GOLD_2020-06-30,fomc_gold_v1,FOMC,2020-06-30,2020-06-30,first_gold_session_on_or_after_event_date,1636.5,0.55,-0.43,0.98,rate_hike,1636.0,-0.030553,FLAT,1642.0,0.336083,UP,1669.5,2.016499,UP,20,"After the FOMC set rates at 0.55% (rate_hike) on 2020-06-30, gold moved 2.016499% over 20 trading days (UP)."
FOMC_GOLD_2020-07-31,fomc_gold_v1,FOMC,2020-07-31,2020-07-31,first_gold_session_on_or_after_event_date,1675.0,2.69,0.55,2.14,rate_hike,1676.5,0.089552,FLAT,1681.5,0.38806,UP,1703.0,1.671642,UP,20,"After the FOMC set rates at 2.69% (rate_hike) on 2020-07-31, gold moved 1.671642% over 20 trading days (UP)."
FOMC_GOLD_2020-08-31,fomc_gold_v1,FOMC,2020-08-31,2020-08-31,first_gold_session_on_or_after_event_date,1705.5,2.03,2.69,-0.66,rate_cut,1709.5,0.234535,UP,1717.0,0.674289,UP,1746.0,2.37467,UP,20,"After the FOMC set rates at 2.03% (rate_cut) on 2020-08-31, gold moved 2.37467% over 20 trading days (UP)."
FOMC_GOLD_2020-09-30,fomc_gold_v1,FOMC,2020-09-30,2020-09-30,first_gold_session_on_or_after_event_date,1749.5,2.47,2.03,0.44,rate_hike,1750.5,0.057159,FLAT,1760.0,0.600171,UP,1779.0,1.686196,UP,20,"After the FOMC set rates at 2.47% (rate_hike) on 2020-09-30, gold moved 1.686196% over 20 trading days (UP)."
FOMC_GOLD_2020-10-31,fomc_gold_v1,FOMC,2020-10-31,2020-11-02,first_gold_session_on_or_after_event_date,1786.0,1.22,2.47,-1.25,rate_cut,1786.0,0.0,FLAT,1787.0,0.055991,FLAT,1809.0,1.287794,UP,20,"After the FOMC set rates at 1.22% (rate_cut) on 2020-10-31, gold moved 1.287794% over 20 trading days (UP)."
FOMC_GOLD_2020-11-30,fomc_gold_v1,FOMC,2020-11-30,2020-11-30,first_gold_session_on_or_after_event_date,1809.0,3.82,1.22,2.6,rate_hike,1809.0,0.0,FLAT,1817.5,0.469873,UP,1844.5,1.96241,UP,20,"After the FOMC set rates at 3.82% (rate_hike) on 2020-11-30, gold moved 1.96241% over 20 trading days (UP)."
FOMC_GOLD_2020-12-31,fomc_gold_v1,FOMC,2020-12-31,2020-12-31,first_gold_session_on_or_after_event_date,1850.5,3.67,3.82,-0.15,rate_cut,1852.5,0.108079,UP,1858.5,0.432316,UP,1885.0,1.864361,UP,20,"After the FOMC set rates at 3.67% (rate_cut) on 2020-12-31, gold moved 1.864361% over 20 trading days (UP)."
FOMC_GOLD_2021-01-31,fomc_gold_v1,FOMC,2021-01-31,2021-02-01,first_gold_session_on_or_after_event_date,1889.0,2.6,3.67,-1.07,rate_cut,1890.0,0.052938,FLAT,1898.0,0.476443,UP,1935.0,2.435151,UP,20,"After the FOMC set rates at 2.6% (rate_cut) on 2021-01-31, gold moved 2.435151% over 20 trading days (UP)."
FOMC_GOLD_2021-02-28,fomc_gold_v1,FOMC,2021-02-28,2021-03-01,first_gold_session_on_or_after_event_date,1935.0,4.19,2.6,1.59,rate_hike,1935.0,0.0,FLAT,1939.5,0.232558,UP,1965.5,1.576227,UP,20,"After the FOMC set rates at 4.19% (rate_hike) on 2021-02-28, gold moved 1.576227% over 20 trading days (UP)."
