Date,Value
2020-01-31,2.96
2020-02-29,0.94
2020-03-31,3.63
2020-04-30,3.91
2020-05-31,-0.43
2020-06-30,0.55
2020-07-31,2.69
2020-08-31,2.03
2020-09-30,2.47
2020-10-31,1.22
2020-11-30,3.82
2020-12-31,3.67
2021-01-31,2.6
2021-02-28,4.19
2021-03-31,3.2
2021-04-30,1.21
2021-05-31,3.05
2021-06-30,1.06
2021-07-31,3.82
2021-08-31,2.43
2021-09-30,2.22
2021-10-31,1.48
2021-11-30,4.33
2021-12-31,2.27
2022-01-31,1.86
2022-02-28,1.97
2022-03-31,3.3
2022-04-30,3.05
2022-05-31,3.12
2022-06-30,3.15
2022-07-31,5.71
2022-08-31,1.89
2022-09-30,1.73
2022-10-31,1.28
2022-11-30,3.42
2022-12-31,4.19
2023-01-31,2.33
2023-02-28,1.24
2023-03-31,1.26
2023-04-30,3.48
2023-05-31,3.61
2023-06-30,3.31
2023-07-31,1.5
2023-08-31,2.85
2023-09-30,2.68
2023-10-31,2.83
2023-11-30,3.81
2023-12-31,2.84
2024-01-31,3.52
2024-02-29,2.6
2024-03-31,2.93
2024-04-30,3.45
2024-05-31,0.31
2024-06-30,2.02
2024-07-31,1.79
2024-08-31,1.54
2024-09-30,2.09
2024-10-31,4.74
2024-11-30,1.2
2024-12-31,3.95
2025-01-31,-0.02
2025-02-28,2.0
2025-03-31,2.74
2025-04-30,3.38
2025-05-31,3.57
2025-06-30,3.69
