Date,Value
2022-01-31,53.22
2022-02-28,47.84
2022-03-31,55.0
2022-04-30,55.76
2022-05-31,44.2
2022-06-30,46.79
2022-07-31,52.51
2022-08-31,50.74
2022-09-30,51.93
2022-10-31,48.59
2022-11-30,55.52
2022-12-31,55.11
2023-01-31,52.26
2023-02-28,56.51
2023-03-31,53.87
2023-04-30,48.56
2023-05-31,53.48
2023-06-30,48.16
2023-07-31,55.51
2023-08-31,51.8
2023-09-30,51.26
2023-10-31,49.28
2023-11-30,56.89
2023-12-31,51.38
2024-01-31,50.29
2024-02-29,50.59
2024-03-31,54.13
2024-04-30,53.46
2024-05-31,53.65
2024-06-30,53.72
2024-07-31,60.57
2024-08-31,50.37
2024-09-30,49.95
2024-10-31,48.74
2024-11-30,54.46
2024-12-31,56.52
