lesson_id,lesson_version,event_type,event_date,anchor_gold_date,alignment_method,gold_close_at_event,fomc_rate,previous_fomc_rate,fomc_change,fomc_decision,gold_close_t_plus_1d,gold_return_1d_pct,gold_direction_1d,gold_close_t_plus_5d,gold_return_5d_pct,gold_direction_5d,gold_close_t_plus_20d,gold_return_20d_pct,gold_direction_20d,primary_horizon_days,lesson_text
FOMC_GOLD_2020-02-29,fomc_gold_v1,FOMC,2020-02-29,2020-03-02,first_gold_session_on_or_after_event_date,1592.300049,0.94,2.96,-2.02,rate_cut,1642.099976,3.127547,UP,1674.5,5.162341,UP,1622.0,1.865223,UP,5,"After the FOMC set rates at 0.94% (rate_cut) on 2020-02-29, gold moved 5.162341% over 5 trading days (UP)."
FOMC_GOLD_2020-03-31,fomc_gold_v1,FOMC,2020-03-31,2020-03-31,first_gold_session_on_or_after_event_date,1583.400024,3.63,0.94,2.69,rate_hike,1578.199951,-0.328412,DOWN,1664.800049,5.140838,UP,1703.400024,7.578628,UP,20,"After the FOMC set rates at 3.63% (rate_hike) on 2020-03-31, gold moved 7.578628% over 20 trading days (UP)."
FOMC_GOLD_2020-04-30,fomc_gold_v1,FOMC,2020-04-30,2020-04-30,first_gold_session_on_or_after_event_date,1684.199951,3.91,3.63,0.28,rate_hike,1694.5,0.611569,UP,1721.800049,2.23252,UP,1736.900024,3.129086,UP,20,"After the FOMC set rates at 3.91% (rate_hike) on 2020-04-30, gold moved 3.129086% over 20 trading days (UP)."
FOMC_GOLD_2020-05-31,fomc_gold_v1,FOMC,2020-05-31,2020-06-01,first_gold_session_on_or_after_event_date,1737.800049,-0.43,3.91,-4.34,rate_cut,1725.199951,-0.72506,DOWN,1698.300049,-2.272989,DOWN,1774.800049,2.129129,UP,5,"After the FOMC set rates at -0.43% (rate_cut) on 2020-05-31, gold moved -2.272989% over 5 trading days (DOWN)."
FOMC_GOLD_2020-06-30,fomc_gold_v1,FOMC,2020-06-30,2020-06-30,first_gold_session_on_or_after_event_date,1793.0,0.55,-0.43,0.98,rate_hike,1773.199951,-1.104297,DOWN,1815.5,1.25488,UP,1953.5,8.951478,UP,20,"After the FOMC set rates at 0.55% (rate_hike) on 2020-06-30, gold moved 8.951478% over 20 trading days (UP)."
FOMC_GOLD_2020-07-31,fomc_gold_v1,FOMC,2020-07-31,2020-07-31,first_gold_session_on_or_after_event_date,1962.800049,2.69,0.55,2.14,rate_hike,1966.0,0.16303,UP,2010.099976,2.409819,UP,1964.599976,0.091702,FLAT,5,"After the FOMC set rates at 2.69% (rate_hike) on 2020-07-31, gold moved 2.409819% over 5 trading days (UP)."
FOMC_GOLD_2020-08-31,fomc_gold_v1,FOMC,2020-08-31,2020-08-31,first_gold_session_on_or_after_event_date,1967.599976,2.03,2.69,-0.66,rate_cut,1968.199951,0.030493,FLAT,1933.0,-1.758486,DOWN,1894.300049,-3.725347,DOWN,20,"After the FOMC set rates at 2.03% (rate_cut) on 2020-08-31, gold moved -3.725347% over 20 trading days (DOWN)."
FOMC_GOLD_2020-09-30,fomc_gold_v1,FOMC,2020-09-30,2020-09-30,first_gold_session_on_or_after_event_date,1887.5,2.47,2.03,0.44,rate_hike,1908.400024,1.107286,UP,1883.599976,-0.206624,DOWN,1876.199951,-0.598678,DOWN,1,"After the FOMC set rates at 2.47% (rate_hike) on 2020-09-30, gold moved 1.107286% over 1 trading days (UP)."
FOMC_GOLD_2020-10-31,fomc_gold_v1,FOMC,2020-10-31,2020-11-02,first_gold_session_on_or_after_event_date,1890.400024,1.22,2.47,-1.25,rate_cut,1908.5,0.957468,UP,1853.199951,-1.967841,DOWN,1814.099976,-4.036185,DOWN,20,"After the FOMC set rates at 1.22% (rate_cut) on 2020-10-31, gold moved -4.036185% over 20 trading days (DOWN)."
FOMC_GOLD_2020-11-30,fomc_gold_v1,FOMC,2020-11-30,2020-11-30,first_gold_session_on_or_after_event_date,1775.699951,3.82,1.22,2.6,rate_hike,1814.099976,2.162529,UP,1861.800049,4.848798,UP,1879.699951,5.856845,UP,20,"After the FOMC set rates at 3.82% (rate_hike) on 2020-11-30, gold moved 5.856845% over 20 trading days (UP)."
FOMC_GOLD_2020-12-31,fomc_gold_v1,FOMC,2020-12-31,2020-12-31,first_gold_session_on_or_after_event_date,1893.099976,3.67,3.82,-0.15,rate_cut,1944.699951,2.725687,UP,1834.099976,-3.116581,DOWN,1860.800049,-1.706192,DOWN,5,"After the FOMC set rates at 3.67% (rate_cut) on 2020-12-31, gold moved -3.116581% over 5 trading days (DOWN)."
FOMC_GOLD_2021-01-31,fomc_gold_v1,FOMC,2021-01-31,2021-02-01,first_gold_session_on_or_after_event_date,1860.800049,2.6,3.67,-1.07,rate_cut,1830.5,-1.628334,DOWN,1831.900024,-1.553097,DOWN,1733.099976,-6.862643,DOWN,20,"After the FOMC set rates at 2.6% (rate_cut) on 2021-01-31, gold moved -6.862643% over 20 trading days (DOWN)."
FOMC_GOLD_2021-02-28,fomc_gold_v1,FOMC,2021-02-28,2021-03-01,first_gold_session_on_or_after_event_date,1722.5,4.19,2.6,1.59,rate_hike,1733.099976,0.615383,UP,1677.699951,-2.600874,DOWN,1712.099976,-0.603775,DOWN,5,"After the FOMC set rates at 4.19% (rate_hike) on 2021-02-28, gold moved -2.600874% over 5 trading days (DOWN)."
FOMC_GOLD_2021-03-31,fomc_gold_v1,FOMC,2021-03-31,2021-03-31,first_gold_session_on_or_after_event_date,1713.800049,3.2,4.19,-0.99,rate_cut,1726.5,0.74104,UP,1756.800049,2.509044,UP,1768.099976,3.168393,UP,20,"After the FOMC set rates at 3.2% (rate_cut) on 2021-03-31, gold moved 3.168393% over 20 trading days (UP)."
FOMC_GOLD_2021-04-30,fomc_gold_v1,FOMC,2021-04-30,2021-04-30,first_gold_session_on_or_after_event_date,1767.300049,1.21,3.2,-1.99,rate_cut,1791.400024,1.363661,UP,1831.099976,3.610022,UP,1902.5,7.650085,UP,20,"After the FOMC set rates at 1.21% (rate_cut) on 2021-04-30, gold moved 7.650085% over 20 trading days (UP)."
FOMC_GOLD_2021-05-31,fomc_gold_v1,FOMC,2021-05-31,2021-06-01,first_gold_session_on_or_after_event_date,1902.900024,3.05,1.21,1.84,rate_hike,1907.5,0.241735,UP,1892.199951,-0.562303,DOWN,1762.800049,-7.362445,DOWN,20,"After the FOMC set rates at 3.05% (rate_hike) on 2021-05-31, gold moved -7.362445% over 20 trading days (DOWN)."
FOMC_GOLD_2021-06-30,fomc_gold_v1,FOMC,2021-06-30,2021-06-30,first_gold_session_on_or_after_event_date,1770.800049,1.06,3.05,-1.99,rate_cut,1775.900024,0.288004,UP,1799.599976,1.626379,UP,1831.199951,3.410882,UP,20,"After the FOMC set rates at 1.06% (rate_cut) on 2021-06-30, gold moved 3.410882% over 20 trading days (UP)."
FOMC_GOLD_2021-07-31,fomc_gold_v1,FOMC,2021-07-31,2021-08-02,first_gold_session_on_or_after_event_date,1818.099976,3.82,1.06,2.76,rate_hike,1810.099976,-0.44002,DOWN,1723.400024,-5.208732,DOWN,1809.0,-0.500521,DOWN,5,"After the FOMC set rates at 3.82% (rate_hike) on 2021-07-31, gold moved -5.208732% over 5 trading days (DOWN)."
FOMC_GOLD_2021-08-31,fomc_gold_v1,FOMC,2021-08-31,2021-08-31,first_gold_session_on_or_after_event_date,1815.0,2.43,3.82,-1.39,rate_cut,1813.099976,-0.104685,DOWN,1790.699951,-1.338846,DOWN,1721.5,-5.151515,DOWN,20,"After the FOMC set rates at 2.43% (rate_cut) on 2021-08-31, gold moved -5.151515% over 20 trading days (DOWN)."
FOMC_GOLD_2021-09-30,fomc_gold_v1,FOMC,2021-09-30,2021-09-30,first_gold_session_on_or_after_event_date,1755.300049,2.22,2.43,-0.21,rate_cut,1757.0,0.096847,FLAT,1757.900024,0.148121,UP,1801.599976,2.637721,UP,20,"After the FOMC set rates at 2.22% (rate_cut) on 2021-09-30, gold moved 2.637721% over 20 trading days (UP)."
FOMC_GOLD_2021-10-31,fomc_gold_v1,FOMC,2021-10-31,2021-11-01,first_gold_session_on_or_after_event_date,1795.099976,1.48,2.22,-0.74,rate_cut,1788.699951,-0.356527,DOWN,1827.400024,1.799345,UP,1773.599976,-1.197705,DOWN,5,"After the FOMC set rates at 1.48% (rate_cut) on 2021-10-31, gold moved 1.799345% over 5 trading days (UP)."
